Column3	Column4	Column5
3337519.6006	1742282.5907	5131459.3817
3337519.6005	1742282.5907	5131459.3817
3337519.6005	1742282.5907	5131459.3816
3337519.6005	1742282.5907	5131459.3816
3337519.6005	1742282.5907	5131459.3816
3337519.6005	1742282.5907	5131459.3816
3337519.6005	1742282.5906	5131459.3816
3337519.6005	1742282.5906	5131459.3815
3337519.6004	1742282.5905	5131459.3815
3337519.6003	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3815
3337519.6004	1742282.5905	5131459.3814
3337519.6004	1742282.5905	5131459.3815
3337519.6004	1742282.5905	5131459.3816
3337519.6004	1742282.5906	5131459.3817
3337519.6005	1742282.5907	5131459.3819
3337519.6004	1742282.5907	5131459.3819
3337519.6004	1742282.5906	5131459.3819
3337519.6004	1742282.5906	5131459.3818
3337519.6003	1742282.5906	5131459.3818
3337519.6003	1742282.5906	5131459.3817
3337519.6004	1742282.5906	5131459.3817
3337519.6004	1742282.5906	5131459.3817
3337519.6004	1742282.5907	5131459.3817
3337519.6005	1742282.5907	5131459.3817
3337519.6004	1742282.5907	5131459.3817
3337519.6004	1742282.5907	5131459.3816
3337519.6004	1742282.5907	5131459.3816
3337519.6004	1742282.5907	5131459.3815
3337519.6004	1742282.5907	5131459.3815
3337519.6004	1742282.5907	5131459.3814
3337519.6004	1742282.5907	5131459.3813
3337519.6004	1742282.5907	5131459.3812
3337519.6004	1742282.5907	5131459.3811
3337519.6004	1742282.5907	5131459.3810
3337519.6004	1742282.5907	5131459.3810
3337519.6004	1742282.5907	5131459.3809
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3808
3337519.6004	1742282.5907	5131459.3809
3337519.6004	1742282.5907	5131459.3809
3337519.6004	1742282.5907	5131459.3810
3337519.6004	1742282.5907	5131459.3810
3337519.6004	1742282.5907	5131459.3811
3337519.6005	1742282.5907	5131459.3811
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3813
3337519.6004	1742282.5906	5131459.3813
3337519.6004	1742282.5906	5131459.3813
3337519.6004	1742282.5906	5131459.3813
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3812
3337519.6004	1742282.5906	5131459.3812
3337519.6003	1742282.5906	5131459.3812
3337519.6003	1742282.5906	5131459.3812
3337519.6003	1742282.5906	5131459.3812
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5906	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6002	1742282.5905	5131459.3811
3337519.6002	1742282.5905	5131459.3810
3337519.6002	1742282.5904	5131459.3810
3337519.6002	1742282.5904	5131459.3810
3337519.6002	1742282.5904	5131459.3810
3337519.6002	1742282.5904	5131459.3810
3337519.6002	1742282.5904	5131459.3810
3337519.6002	1742282.5904	5131459.3810
3337519.6002	1742282.5904	5131459.3809
3337519.6002	1742282.5904	5131459.3809
3337519.6001	1742282.5904	5131459.3809
3337519.6001	1742282.5903	5131459.3808
3337519.6001	1742282.5903	5131459.3808
3337519.6000	1742282.5903	5131459.3808
3337519.6000	1742282.5903	5131459.3808
3337519.6000	1742282.5903	5131459.3808
3337519.6001	1742282.5903	5131459.3808
3337519.6001	1742282.5903	5131459.3808
3337519.6001	1742282.5903	5131459.3808
3337519.6001	1742282.5903	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3809
3337519.6002	1742282.5904	5131459.3809
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3809
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6002	1742282.5904	5131459.3808
3337519.6003	1742282.5904	5131459.3808
3337519.6003	1742282.5904	5131459.3808
3337519.6003	1742282.5904	5131459.3809
3337519.6003	1742282.5904	5131459.3809
3337519.6003	1742282.5904	5131459.3809
3337519.6003	1742282.5904	5131459.3810
3337519.6003	1742282.5904	5131459.3810
3337519.6003	1742282.5904	5131459.3810
3337519.6003	1742282.5904	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3811
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
3337519.6003	1742282.5905	5131459.3810
